"mes","CotacaoDolar","CotacaoBrentReais","ValorBrentEmDolar","Sigla_regiao","mediaPrecoEtanol","mediaPrecoGasolina","mediaTribEstadual","mediaTribFederal","mediaDistRev","medianaPrecoEtanol","medianaPrecoGasolina","medianaTribEstadual","medianaTribFederal","medianaDistRev","MediaIPCAMes","MedianaIPCAMes","mediaGasolinaBomba","ImpPercMedia","medianaGasolinaBomba","ImpPercMediana","PIM","Estoque_Empregos","mediaCDI","IBC","MassaRendimento"
"2019-09",4.1156,260.114813416667,63.195,"BR",0.517155324516948,1.2631117,1.23405117397805,0.686868,0.666813801505003,0.517155324516948,1.2631117,1.23405117397805,0.686868,0.666813801505003,-0.04,-0.04,4.368,28.2520873163473,4.368,28.2520873163473,78.9,"39.414.409,00",5.70952380952381,"138,29","150867"
"2019-09",4.1156,260.114813416667,63.195,"N",0.5512185,1.1872136,1.18403316469689,0.686868,0.870666735303109,0.5512185,1.1872136,1.18403316469689,0.686868,0.870666735303109,0.0727741935483871,0.0727741935483871,4.48,26.4293117119842,4.48,26.4293117119842,78.9,"39.414.409,00",5.70952380952381,"138,29","150867"
"2019-09",4.1156,260.114813416667,63.195,"NE",0.5512185,1.1945063,1.2834488448038,0.686868,0.776958355196204,0.5512185,1.1945063,1.2834488448038,0.686868,0.776958355196204,0.053920704845815,0.053920704845815,4.493,28.5655206944981,4.493,28.5655206944981,78.9,"39.414.409,00",5.70952380952381,"138,29","150867"
"2019-09",4.1156,260.114813416667,63.195,"SE",0.505575,1.3048239,1.24000791444045,0.686868,0.629725185559548,0.505575,1.3048239,1.24000791444045,0.686868,0.629725185559548,-0.0332346035759436,-0.0332346035759436,4.367,28.3949602573953,4.367,28.3949602573953,78.9,"39.414.409,00",5.70952380952381,"138,29","150867"
"2019-09",4.1156,260.114813416667,63.195,"CO",0.497313,1.37167,1.22985626745565,0.686868,0.573292732544346,0.497313,1.37167,1.22985626745565,0.686868,0.573292732544346,0.186316455696203,0.186316455696203,4.359,28.2141836993726,4.359,28.2141836993726,78.9,"39.414.409,00",5.70952380952381,"138,29","150867"
"2019-09",4.1156,260.114813416667,63.195,"S",0.505575,1.2476868,1.19379926485619,0.686868,0.55807093514381,0.505575,1.2476868,1.19379926485619,0.686868,0.55807093514381,-0.0207535515750463,-0.0207535515750463,4.192,28.478035898287,4.192,28.478035898287,78.9,"39.414.409,00",5.70952380952381,"138,29","150867"
"2019-10",4.07968571428571,243.299104357143,59.6414285714286,"BR",0.537353978962894,1.3125473,1.23904167426981,0.686868,0.610189046767296,0.537353978962894,1.3125473,1.23904167426981,0.686868,0.610189046767296,0.1,0.1,4.386,28.2499241739583,4.386,28.2499241739583,86.3,"39.488.567,00",5.37826086956522,"142,76","150599"
"2019-10",4.07968571428571,243.299104357143,59.6414285714286,"NE",0.5433885,1.2643308,1.28253079602099,0.686868,0.698881903979015,0.5433885,1.2643308,1.28253079602099,0.686868,0.698881903979015,0.0308118313404657,0.0308118313404657,4.47600000000001,28.6535030388961,4.47600000000001,28.6535030388961,86.3,"39.488.567,00",5.37826086956522,"142,76","150599"
"2019-10",4.07968571428571,243.299104357143,59.6414285714286,"N",0.5433885,1.2433287,1.20721445731786,0.686868,0.837200342682145,0.5433885,1.2433287,1.20721445731786,0.686868,0.837200342682145,0.200129032258065,0.200129032258065,4.51800000000001,26.7201075103554,4.51800000000001,26.7201075103554,86.3,"39.488.567,00",5.37826086956522,"142,76","150599"
"2019-10",4.07968571428571,243.299104357143,59.6414285714286,"CO",0.52596,1.4065421,1.24113020169225,0.686868,0.545499698307754,0.52596,1.4065421,1.24113020169225,0.686868,0.545499698307754,0.0318101265822785,0.0318101265822785,4.406,28.16909218548,4.406,28.16909218548,86.3,"39.488.567,00",5.37826086956522,"142,76","150599"
"2019-10",4.07968571428571,243.299104357143,59.6414285714286,"SE",0.53649,1.3519746,1.24513708724402,0.686868,0.575530312755982,0.53649,1.3519746,1.24513708724402,0.686868,0.575530312755982,0.0775474083438685,0.0775474083438685,4.396,28.3243195460423,4.396,28.3243195460423,86.3,"39.488.567,00",5.37826086956522,"142,76","150599"
