REGIÃO;UF;VENDAS DE GASOLINA C;ANO
Centro-Oeste;Mato Grosso do Sul ;717,740234;2014
Centro-Oeste;Mato Grosso;662,409154;2014
Centro-Oeste;Goiás;1639,888518;2014
Centro-Oeste;Distrito Federal ;1172,428676;2014
Norte;Rondônia ;416,855032;2015
Norte;Acre ;140,25884;2015
Norte;Amazonas ;617,20343;2015
Norte;Roraima ;123,890243;2015
Norte;Pará ;1131,966264;2015
Norte;Amapá;153,753221;2015
Norte;Tocantins ;348,183435;2015
Nordeste;Maranhão ;889,941815;2015
Nordeste;Piauí ;579,918418;2015
Nordeste;Ceará ;1331,394414;2015
Nordeste;Rio Grande do Norte ;644,783747;2015
Nordeste;Paraíba ;662,396748;2015
Nordeste;Pernambuco;1377,723967;2015
Nordeste;Alagoas;425,872693;2015
Nordeste;Sergipe;390,746965;2015
Nordeste;Bahia;2050,79353;2015
Sudeste;Minas Gerais;4296,429034;2015
Sudeste;Espírito Santo;917,021221;2015
Sudeste;Rio de Janeiro;2733,573242;2015
Sudeste;São Paulo;9436,733193;2015
Sul ;Paraná ;2591,179507;2015
Sul ;Santa Catarina;2560,629765;2015
Sul ;Rio Grande do Sul ;3494,738689;2015
Centro-Oeste;Mato Grosso do Sul ;663,753428;2015
Centro-Oeste;Mato Grosso;565,513122;2015
Centro-Oeste;Goiás;1469,880459;2015
Centro-Oeste;Distrito Federal ;1122,267148;2015
Norte;Rondônia ;431,573744;2016
Norte;Acre ;136,817744;2016
Norte;Amazonas ;634,172722;2016
Norte;Roraima ;129,943602;2016
Norte;Pará ;1154,585462;2016
Norte;Amapá;151,53769;2016
Norte;Tocantins ;363,55829;2016
Nordeste;Maranhão ;928,346354;2016
Nordeste;Piauí ;596,027063;2016
Nordeste;Ceará ;1372,176486;2016
Nordeste;Rio Grande do Norte ;651,680245;2016
Nordeste;Paraíba ;694,589697;2016
Nordeste;Pernambuco;1441,149787;2016
Nordeste;Alagoas;453,962274;2016
Nordeste;Sergipe;398,251993;2016
Nordeste;Bahia;2210,592757;2016
Sudeste;Minas Gerais;4512,741376;2016
Sudeste;Espírito Santo;947,149013;2016
Sudeste;Rio de Janeiro;2684,90352;2016
Sudeste;São Paulo;9990,516458;2016
Sul ;Paraná ;2881,573091;2016
Sul ;Santa Catarina;2700,772289;2016
Sul ;Rio Grande do Sul ;3463,356223;2016
Centro-Oeste;Mato Grosso do Sul ;741,872019;2016
Centro-Oeste;Mato Grosso;616,554183;2016
Centro-Oeste;Goiás;1531,089096;2016
Centro-Oeste;Distrito Federal ;1199,5887;2016
Norte;Rondônia ;436,154441;2017
Norte;Acre ;136,59256;2017
Norte;Amazonas ;644,424523;2017
Norte;Roraima ;137,423769;2017
Norte;Pará ;1154,05816;2017
Norte;Amapá;154,728341;2017
Norte;Tocantins ;379,334976;2017
Nordeste;Maranhão ;955,006366;2017
Nordeste;Piauí ;607,778964;2017
Nordeste;Ceará ;1381,639086;2017
Nordeste;Rio Grande do Norte ;661,020141;2017
Nordeste;Paraíba ;713,021851;2017
Nordeste;Pernambuco;1494,982013;2017
Nordeste;Alagoas;455,660703;2017
Nordeste;Sergipe;401,427899;2017
Nordeste;Bahia;2251,13571;2017
Sudeste;Minas Gerais;4570,210878;2017
Sudeste;Espírito Santo;937,560443;2017
Sudeste;Rio de Janeiro;2522,844538;2017
Sudeste;São Paulo;10472,11333;2017
Sul ;Paraná ;3065,37017;2017
Sul ;Santa Catarina;2807,016351;2017
Sul ;Rio Grande do Sul ;3594,255279;2017
Centro-Oeste;Mato Grosso do Sul ;766,623339;2017
Centro-Oeste;Mato Grosso;623,823978;2017
Centro-Oeste;Goiás;1559,199289;2017
Centro-Oeste;Distrito Federal ;1266,124914;2017
Norte;Rondônia ;427,769572;2018
Norte;Acre ;133,872324;2018
Norte;Amazonas ;614,179327;2018
Norte;Roraima ;140,968558;2018
Norte;Pará ;1136,547735;2018
Norte;Amapá;158,010198;2018
Norte;Tocantins ;348,974009;2018
Nordeste;Maranhão ;943,358348;2018
Nordeste;Piauí ;557,661833;2018
Nordeste;Ceará ;1329,769109;2018
Nordeste;Rio Grande do Norte ;608,089124;2018
Nordeste;Paraíba ;637,788087;2018
