COMBUSTÍVEL;ANO;SEGMENTO;ESTADO;UNIDADE; Jan ; Fev ; Mar ; Abr ; Mai ; Jun ; Jul ; Ago ; Set ; Out ; Nov ; Dez ; TOTAL 
GASOLINA C (m3);2020;CONSUMIDOR FINAL;PARÁ;m3;601;519;613;619;679;985;875;1.097;1.114;1.221;1.098;;9.423
GASOLINA C (m3);2020;CONSUMIDOR FINAL;AMAPÁ;m3;15;25;85;50;65;75;105;105;130;99;75;;829
GASOLINA C (m3);2020;CONSUMIDOR FINAL;TOCANTINS;m3;78;86;90;75;60;80;60;112;115;120;100;;976
GASOLINA C (m3);2020;CONSUMIDOR FINAL;MARANHÃO;m3;55;57;78;43;19;49;59;38;61;34;46;;539
GASOLINA C (m3);2020;CONSUMIDOR FINAL;PIAUÍ;m3;38;32;34;16;14;22;24;19;26;29;22;;276
GASOLINA C (m3);2020;CONSUMIDOR FINAL;CEARÁ;m3;196;166;171;158;146;170;186;196;193;215;198;;1.995
GASOLINA C (m3);2020;CONSUMIDOR FINAL;RIO GRANDE DO NORTE;m3;215;220;200;175;165;160;205;205;205;190;200;;2.140
GASOLINA C (m3);2020;CONSUMIDOR FINAL;PARAÍBA;m3;87;46;77;20;20;35;53;50;60;62;59;;567
GASOLINA C (m3);2020;CONSUMIDOR FINAL;PERNAMBUCO;m3;232;269;232;116;106;151;196;312;207;266;319;;2.405
GASOLINA C (m3);2020;CONSUMIDOR FINAL;ALAGOAS;m3;12;17;15;20;5;44;8;20;25;15;20;;201
GASOLINA C (m3);2020;CONSUMIDOR FINAL;SERGIPE;m3;70;38;45;23;20;31;30;25;45;45;35;;407
GASOLINA C (m3);2020;CONSUMIDOR FINAL;BAHIA;m3;692;661;689;476;566;604;746;852;791;913;789;;7.778
GASOLINA C (m3);2020;CONSUMIDOR FINAL;MINAS GERAIS;m3;2.311;2.054;2.202;1.624;1.753;2.003;2.071;2.011;2.219;2.402;2.071;;22.720
GASOLINA C (m3);2020;CONSUMIDOR FINAL;ESPÍRITO SANTO;m3;517;497;413;460;480;485;574;567;630;603;460;;5.686
GASOLINA C (m3);2020;CONSUMIDOR FINAL;RIO DE JANEIRO;m3;2.766;2.526;2.683;2.247;1.951;2.267;2.411;2.222;2.402;2.538;2.204;;26.216
GASOLINA C (m3);2020;CONSUMIDOR FINAL;SÃO PAULO;m3;2.093;2.066;2.281;1.053;1.436;1.433;1.642;1.760;1.826;1.879;1.830;;19.299
GASOLINA C (m3);2020;CONSUMIDOR FINAL;PARANÁ;m3;604;839;803;529;576;619;627;692;689;773;716;;7.466
GASOLINA C (m3);2020;CONSUMIDOR FINAL;SANTA CATARINA;m3;294;264;299;206;198;225;272;221;290;355;256;;2.880
GASOLINA C (m3);2020;CONSUMIDOR FINAL;RIO GRANDE DO SUL;m3;313;257;442;212;106;196;275;298;321;362;391;;3.173
GASOLINA C (m3);2020;CONSUMIDOR FINAL;MATO GROSSO DO SUL;m3;118;149;221;95;77;153;120;173;190;147;139;;1.582
