"mes","CotacaoDolar","CotacaoBrentReais","ValorBrentEmDolar","Sigla_regiao","medianaDistrTransporte","medianaRevenda","medianaPrecoEtanol","medianaPrecoGasolina","medianaTribEstadual","medianaTribFederal","MedianaIPCAMes","PIM","Estoque_Empregos","mediaCDI","IBC","medianaGasolinaBomba"
"2018-07",3.82629166666667,284.79998575,74.4058333333333,"SE",0.188527027564551,0.425000000000001,0.447255,1.4673584,1.26999157243545,0.686868,0.348963337547408,77,"38.575.609,00",6.39,140.97,4.485
"2018-08",3.92921333333333,285.279916266667,72.5893333333333,"SE",0.198436241791582,0.397,0.426735,1.4880028,1.26295795820842,0.686868,0.0664692071518873,87.5,"38.699.353,00",6.39,143.33,4.46
"2018-09",4.096575,323.876328666667,79.0733333333333,"SE",0.147325567183407,0.407999999999999,0.495045,1.6956659,1.25809553281659,0.686868,0.337885136355427,72.3,"38.850.359,00",6.39,135.87,4.691
"2018-10",3.75897692307692,308.010935846154,81.8915384615385,"SE",0.200097149450871,0.456,0.536598,1.499712,1.32572485054913,0.686868,0.227103124435615,80.6,"38.916.964,00",6.4,139.75,4.705
"2018-11",3.78119285714286,250.519544714286,66.33,"SE",0.249524263678801,0.58,0.491346,1.1974482,1.3078135363212,0.686868,-0.166173017879718,75.2,"38.980.132,00",6.4,137.61,4.513
"2018-12",3.88477777777778,229.298921666667,59.0222222222222,"SE",0.211605593361303,0.482,0.492318,1.2052957,1.2829127066387,0.686868,0.0166173017879718,59.7,"38.637.774,00",6.4,136.34,4.361
"2019-01",3.724675,220.280073666667,59.1341666666667,"SE",0.247673619874069,0.497,0.493965,1.1634959,1.25899748012593,0.686868,0.204946722051653,65.9,"38.682.440,00",6.4,133.44,4.348
"2019-02",3.72569166666667,236.858710416667,63.5675,"SE",0.178389777119152,0.435,0.507114,1.2112379,1.23139032288085,0.686868,0.243720426223587,76.1,"38.874.943,00",6.4,133.74,4.25
"2019-03",3.8555,254.904415769231,66.1061538461538,"SE",0.188893545995658,0.404,0.501957,1.3640196,1.20926185400434,0.686868,0.432049846487267,73.8,"38.836.331,00",6.4,138.99,4.355
"2019-04",3.90308333333333,277.542464666667,71.1008333333333,"SE",0.13166446900508,0.408,0.568026,1.458832,1.24460953099492,0.686868,0.27141592920354,81.7,"38.972.715,00",6.4,139.46,4.498
"2019-05",3.98662857142857,286.596511428571,71.8807142857143,"SE",0.145661455773376,0.394,0.514485,1.5088662,1.28511934422662,0.686868,0.0720083077478779,82,"39.013.389,00",6.4,139.26,4.535
"2019-06",3.8554,245.894381333333,63.7833333333333,"SE",0.159171131621015,0.444,0.496422,1.3359511,1.28558776837899,0.686868,-0.0221564023839624,73.6,"39.072.919,00",6.4,135.01,4.408
"2019-07",3.77475384615385,242.057033615385,64.1315384615385,"SE",0.157380098991628,0.456,0.505224,1.2570089,1.25151900100837,0.686868,0.155094816687737,81.7,"39.124.544,00",6.4,142.92,4.314
"2019-08",4.02208571428571,238.797102428571,59.3864285714286,"SE",0.176828167482274,0.477,0.521748,1.2298821,1.23967373251773,0.686868,0.18279031966769,85.1,"39.252.375,00",5.9,141.77,4.332
"2019-09",4.1156,260.114813416667,63.195,"SE",0.189725185559548,0.44,0.505575,1.3048239,1.24000791444045,0.686868,-0.0332346035759436,78.9,"39.414.409,00",5.70952380952381,138.29,4.367
"2019-10",4.07968571428571,243.299104357143,59.6414285714286,"SE",0.156530312755982,0.419,0.53649,1.3519746,1.24513708724402,0.686868,0.0775474083438685,86.3,"39.488.567,00",5.37826086956522,142.76,4.396
"2019-11",4.16744615384615,262.332777461538,62.9323076923077,"SE",0.133590641007256,0.426,0.563085,1.3913873,1.24106905899274,0.686868,0.387737041719343,79.1,"39.589.164,00",4.9,138.84,4.442
"2019-12",4.11218181818182,273.810131727273,66.6072727272727,"SE",0.150692661227256,0.444,0.590949,1.4415018,1.24698853877274,0.686868,0.515136355427127,59.8,"39.281.853,00",4.59047619047619,137.54,4.561
"2020-01",4.15099285714286,267.196844571429,64.43,"SE",0.130068868600129,0.463,0.608715,1.4100461,1.29230203139987,0.686868,0.200007510326699,71.7,"39.399.646,00",4.4,133.61,4.591
"2020-02",4.36674166666667,243.14567925,55.6708333333333,"SE",0.162256917199924,0.47,0.617166,1.3269502,1.29675888280008,0.686868,0.139399173864063,76.6,"39.625.294,00",4.19166666666667,134.64,4.56
"2020-03",4.89271666666667,166.968496583333,34.5483333333333,"SE",0.222640695739301,0.567,0.545967,1.1112936,1.2852307042607,0.686868,0.0545475028163725,72.3,"39.348.944,00",3.94545454545455,136.69,4.419
"2020-04",5.31320769230769,94.0374269230769,17.8053846153846,"SE",0.349945957277262,0.599,0.415476,0.7450161,1.17169394272274,0.686868,-0.224305555555556,47.4,"38.385.241,00",3.65,119.12,3.968
"2020-05",5.65388333333333,157.850947,27.9841666666667,"SE",0.149216766260945,0.532,0.426816,0.9379113,1.13718793373905,0.686868,-0.169744744744745,52.9,"38.011.645,00",3.0125,119.78,3.87
"2020-06",5.18789166666667,207.998117666667,40.0591666666667,"SE",0.134934491017275,0.472,0.506574,1.1291129,1.08851060898273,0.686868,0.175807057057057,59.6,"37.981.600,00",2.57857142857143,126.17,4.01800000000001
"2020-07",5.28032,227.544550266667,43.0973333333333,"SE",0.0810496934392431,0.423,0.506547,1.3323376,1.15619770656076,0.686868,0.145495495495495,72.2,"38.118.972,00",2.15,135.87,4.186
