Variação mensal por cidade
  ;Aracaju (SE);Belo Horizonte (MG);Belém (PA);Brasil;Brasília (DF);Campo Grande (MS);Curitiba (PR);Fortaleza (CE);Goiânia (GO);Grande Vitória (ES);Porto Alegre (RS);Recife (PE);Rio Branco (AC);Rio de Janeiro (RJ);Salvador (BA);São Luís (MA);São Paulo (SP)
agosto 2020;-0.3;0.21;-0.04;0.24;0.58;1.04;0.2;-0.23;0.66;-0.03;0.33;0.46;0.54;-0.13;0.13;0.38;0.31

Fonte: "IBGE - Índice Nacional de Preços ao Consumidor Amplo"
